matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
146,Daniel Kandi,Nickolay Vlashev,9,1,22-Mar-19,2019 Mezz Bucharest Open
147,Mark Gray,Damianos Giallourakis,9,3,22-Mar-19,2019 Mezz Bucharest Open
148,Bogdan Bogorin,Uorsin Candrian,0,9,22-Mar-19,2019 Mezz Bucharest Open
149,Malaj Nick,Nicu Purcaru,9,2,22-Mar-19,2019 Mezz Bucharest Open
150,Menelaos Lolas,Iacob Mihai Daniel,5,9,22-Mar-19,2019 Mezz Bucharest Open
151,Fedor Gorst,Oguzhan Curebal,9,3,22-Mar-19,2019 Mezz Bucharest Open
152,Konrad Piekarski,Ilias Christou,9,4,22-Mar-19,2019 Mezz Bucharest Open
153,Babken Melkonyan,Kadir Korkmaz,9,2,22-Mar-19,2019 Mezz Bucharest Open
154,Marco Daniel Mucci,Chouliaras Konstantinos,6,9,22-Mar-19,2019 Mezz Bucharest Open
155,Ruslan Chinakhov,Dragos Lucian Lucaniuc,9,2,22-Mar-19,2019 Mezz Bucharest Open
156,Kercso Zoltan,Osman Sanlisoy,4,9,22-Mar-19,2019 Mezz Bucharest Open
157,Mario He,Antonakis George,9,4,22-Mar-19,2019 Mezz Bucharest Open
158,Erol Kayas,Anthony Brabin,6,9,22-Mar-19,2019 Mezz Bucharest Open
159,Alexander Kazakis,Dejan Sipkovski,9,5,22-Mar-19,2019 Mezz Bucharest Open
160,Gîndac Ciprian Gabriel,Angelo Salzano,9,4,22-Mar-19,2019 Mezz Bucharest Open
161,Daniel Macio?,Marian Apostol,9,2,22-Mar-19,2019 Mezz Bucharest Open
162,Albert Gabos,Mesut Açan,1,9,22-Mar-19,2019 Mezz Bucharest Open
163,Jakub Koniar,Thomas Charmantzis,9,5,22-Mar-19,2019 Mezz Bucharest Open
164,Luka Rasevic,Furkan Sahin,9,6,22-Mar-19,2019 Mezz Bucharest Open
165,Ivar Saris,Gelu Zah,9,1,22-Mar-19,2019 Mezz Bucharest Open
166,Wim Scrayen,Ronald Mijatovic,6,9,22-Mar-19,2019 Mezz Bucharest Open
167,Denis Grabe,Gabriel Syarov,9,2,22-Mar-19,2019 Mezz Bucharest Open
168,Chatoupis Nick,Anders Edvardsson,9,4,22-Mar-19,2019 Mezz Bucharest Open
169,Zoran Svilar,Mihai Alexandru,9,1,22-Mar-19,2019 Mezz Bucharest Open
170,Anastasiei Alin-florin,Stanimir Ruslanov,7,9,22-Mar-19,2019 Mezz Bucharest Open
171,Albin Ouschan,George Kampourlidis,9,4,22-Mar-19,2019 Mezz Bucharest Open
172,Andrei Cristian Ionescu,Gerasimos Trivyzas,8,9,22-Mar-19,2019 Mezz Bucharest Open
173,Petri Makkonen,Kulcear Bela,9,2,22-Mar-19,2019 Mezz Bucharest Open
174,Aris Çakiris,Johannes Geihe,2,9,22-Mar-19,2019 Mezz Bucharest Open
175,Niels Feijen,Dan Afriat,9,2,22-Mar-19,2019 Mezz Bucharest Open
176,Christoffer Lentz,Traian Marinca,9,4,22-Mar-19,2019 Mezz Bucharest Open
177,Georgiou Lefteris,Toni Judet,6,9,22-Mar-19,2019 Mezz Bucharest Open
178,Stefan Danescu,Mehmet Bakici,4,9,22-Mar-19,2019 Mezz Bucharest Open
179,Marc Bijsterbosch,Edmond Zaja,9,8,22-Mar-19,2019 Mezz Bucharest Open
180,Ionut Ciobanu,Rico Diks,9,7,22-Mar-19,2019 Mezz Bucharest Open
181,Imran Majid,Trif Alexandru Claudiu,8,9,22-Mar-19,2019 Mezz Bucharest Open
182,Cristian Surdea,Harun Erbey,7,9,22-Mar-19,2019 Mezz Bucharest Open
183,Shane Van Boening,Alexandru Cotescu,9,1,22-Mar-19,2019 Mezz Bucharest Open
184,Kakaris Antonis,Mario Toader,9,5,22-Mar-19,2019 Mezz Bucharest Open
185,Dimitris Loukatos,Marius Blaj,9,1,22-Mar-19,2019 Mezz Bucharest Open
186,Christoph Marien,Rich Fulwell,9,1,22-Mar-19,2019 Mezz Bucharest Open
187,Wiktor Zielinski,Onur Yildirim,9,4,22-Mar-19,2019 Mezz Bucharest Open
188,Sergiu Voicu,Kristiyan Spasov,9,6,22-Mar-19,2019 Mezz Bucharest Open
189,Chris Alexander,Slobodan Banjanac,9,4,22-Mar-19,2019 Mezz Bucharest Open
