,date,playerA,playerARacks,playerB,playerBRacks,competition,matchIndex
247,2020-02-21 09:00:00,Petri Makkonen,9,Niels Feijen,8,2020 EuroTour Treviso,248
248,2020-02-21 10:30:00,Ivar Saris,8,Tobias Bongers,9,2020 EuroTour Treviso,249
249,2020-02-21 10:30:00,Jani Uski,9,Oliver Szolnoki,8,2020 EuroTour Treviso,250
250,2020-02-21 09:00:00,Mateusz Sniegocki,9,Jonas Souto,6,2020 EuroTour Treviso,251
251,2020-02-21 09:00:00,Gerasimos Trivizas,5,Sanjin Pehlivanovic,9,2020 EuroTour Treviso,252
252,2020-02-21 10:30:00,Roman Hybler,9,Vladimir Matvienko,4,2020 EuroTour Treviso,253
253,2020-02-21 10:30:00,Mario Valchev,5,Ralf Souquet,9,2020 EuroTour Treviso,254
254,2020-02-21 09:00:00,Jani Siekkinen,4,Jere Virtaranta,9,2020 EuroTour Treviso,255
255,2020-02-21 09:00:00,Mustafa Alnar,5,Dimitris Loukatos,9,2020 EuroTour Treviso,256
256,2020-02-21 10:30:00,Albin Ouschan,9,Yvonne Ullmann-Hybler,1,2020 EuroTour Treviso,257
257,2020-02-21 10:30:00,Sergey Lutsker,9,Davy Piergiovanni,7,2020 EuroTour Treviso,258
